char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword	~
㚇	35 夊		UCHE	山金竹水	20869.070						
㨖	64 手扌龵		QMGK	手一土大	31931.020						
㫚	72 日		PHA	心竹日	21493.030	0492.020					
㬹	130 肉⺼		BBSD	月月尸木	32089.050						
䂑	111 矢		OKYMP	人大卜一心	42583.160	0824.150					
䍇	121 缶		OUHIO	人山竹戈人	52935.110						
䧹	172 隹		IOOG	戈人人土	64098.040						
䳭	196 鳥		AISLF	日戈尸中火	74647.080						wagtail
䵠	203 黑		WFPI	田火心戈	74744.050						
一	1 一	1000.0	M	一	10001.010	0075.010	1	one	1	one	one: A single horizontal stroke, representing the number one.
丁	1 一	1020.0	MN	一弓	10002.050	0075.030	86	fourth	90	fourth	cubes: In ancient scripts 丁 was written in two different ways: (1) depicting the walls of a city, which is now written as 圍, or (2) depicting a nail, which is now written as 釘.
丂	1 一		MVS	一女尸	10004.010	0075.050					axe handle: Pictograph of an axe handle.
七	1 一	4071.0	JU	十山	10003.030	0075.070	7	seven	7	seven	seven: Depicts two lines crossing. Based on the original meaning "cut", now written as 切. The current meaning is a phonetic loan.
丄	1 一		LM	中一	10003.010	0076.010					above: One stroke on top of another; variant of 上
丅	1 一		XML	難一中	10002.040	0076.020					under
丆	1 一		XMH	難一竹	10003.021	0076.021					kwukyel
万	1 一	1022.7	MS	一尸	10009.030	0076.030			65	ten thousand	ten thousand: Variant of 丏. Depicts a person (人) with a cover on top, conveying the original meaning "to not be seen". The current meaning is a phonetic loan. Simplified form of 萬.
丈	1 一	5000.0	JK	十大	10009.020	0076.040	776	100 Chinese Inches	837	100 Chinese inches	unit of length ~ 3 meters: Depicts 10 (十) hand-lengths (又): 丈 (~3 meters) is a traditional Chinese unit of length equal to 10 尺 (~0.3 meters). The current use of 丈 as "husband" is a phonetic loan.
三	1 一	1010.1	MMM	一一一	10004.030	0076.050	3	three	3	three	three: Three horizontal strokes, representing the number three.
上	1 一	2110.0	YM	卜一	10005.040	0076.070	44	above	45	above	up: Originally a small line or dot above a longer line, indicating "up". The vertical line was added to distinguish the character from 二 (two). Opposite of 下.
下	1 一	1023.0	MY	一卜	10007.010	0076.100	45	below	46	below	under: Originally a small line or dot below a longer line, indicating "down". The vertical line was added to distinguish the character from 二 (two). Opposite of 上.
丌	1 一	1022.0	ML	一中	10009.010	0076.130					table: Depicts a table.
不	1 一	1090.0	MF	一火	10011.060	0076.150	924	no	993	no	no: Pictograph of sepals of a flower. The modern meaning "no" is a phonetic loan.
与	1 一	2140.7	YSM	卜尸一	10005.030	0077.010			1034	offer	and: Simplified form of 與.  Phonosemantic compound. 舁 represents the meaning and 牙 represents the sound.  The traditional component 舁 was removed for simplification.
丏	1 一	1072.7	MLVS	一中女尸	10011.050	0077.020					parapet: Depicts a person (人) with a cover on top, conveying the original meaning "to not be seen". The meaning later shifted to "invisible" and "parapet".
丐	1 一	1020.7	MYVS	一卜女尸	10010.060	0077.030					beggar: Depicts the blade of a knife. Similar in origin to 亡 and 方. Based on the original meaning "cut". The current meaning is a phonetic loan.
丑	1 一	1710.5	NG	弓土	10012.070	0077.040	1489	clown	1486	clown	second earthly branch; (simp.) ugly: Depicts of a hand or paw with fingernails or claws. The current meaning is a phonetic loan. In simplified Chinese 丑 is also used to mean "ugly", while in traditional Chinese this meaning is written with a separate character 醜.
丒	1 一		SKM	尸大一	10013.021	0077.061					the period from 1 to 3 a.m.
专	1 一	5030	QNI	手弓戈	10010.050	0077.061			1238	specialty	monopolize: Depicts a hand (寸) spinning a wheel (叀). Based on the original meaning "turn", now written as 轉. The current meaning is a phonetic loan. The simplified character 专 was adapted from the cursive form of the traditional character 專.
且	1 一	7710.0	BM	月一	10015.050	0077.070	1297	moreover	1345	moreover	moreover: Originally a pictograph of a sacrificial altar. The current meaning "moreover" is a phonetic loan.
丕	1 一	1010.9	MFM	一火一	10015.010	0077.100					great
世	1 一	4471.7	PT	心廿	10014.060	0077.110	27	generation	28	generation	generation: Origin unclear. Various explanations include (1) depicting three leaves on branches of a tree, a remnant from the top part of 枼 (leaf), which was phonetically similar in Old Chinese, (2) three dots added above the phonetically similar 止 (zhǐ - foot), or (3) three copies of 十 (ten), similar to the archaic character 卅 (thirty), depicting a 30-year generation.
丗	1 一	4477.0	XTJ	難廿十	10014.050	0077.061					thirty
丘	1 一	7210.1	OM	人一	10017.010	0077.140	1003	hill	1079	hill	hill: Pictograph of two hills.
丙	1 一	1022.7	MOB	一人月	10016.030	0078.020	780	third	842	third	third: Depicts a platform to put things on. The current meaning is a phonetic loan.
业	1 一	3210	TC	廿金	10015.040	0078.021			1351	profession	profession: Simplified character from the top 5 strokes of the traditional 業. Depicts a person (大) carrying a weapon (丵). Based on the original meaning "attack". The meaning later shifted to "expand territory" and "develop business".
丛	1 一	8810	OOM	人人一	10017.030	0078.021			2104	thicket	bush: Simplified form of 叢. 从 represents the sound.
东	1 一	4090	KD	大木	10017.050	0078.021			1249	east	east: Pictograph of a basket or a bag. The current meaning "east" is a phonetic loan. The simplified character 东 was adapted from the cursive form of the traditional character 東.
丝	1 一	2210	VVM	女女一	10017.080	0078.021			1081	silk	silk, threads: Simplified form of 絲.  Duplication of 纟 (silk).
丞	1 一	1710.3	NEM	弓水一	10019.080	0078.050					assist: Depicts two hands (廾) rescuing a person (卩) trapped in a pit (凵).
丟	1 一	1073.1	HGI	竹土戈	10385.050	0078.060	1870	mislay			lose, discard: A horizontal line, depicting an item being discarded, added to the semantically similar character 去 (leave; go).
両	1 一	1022.7	MLBU	一中月山	10019.010	0078.101					two
丢	1 一	2073	HGI	竹土戈	10386.030	0078.101			1915	mislay	lose, discard: A horizontal line, depicting an item being discarded, added to the semantically similar character 去 (leave; go).
丣	1 一		MLLS	一中中尸	10021.060	0078.110					ancient form of the tenth of the twelve Terrestrial Branches
两	1 一	1022	MOOB	一人人月	10021.020	0078.131			1478	dos	two: Simplified form of 兩.  Combination of two 丙 characters. 丙 also represents the sound.
严	1 一	1020	MTCH	一廿金竹	10019.100	0078.131			1355	strict	strict: Simplified form of 嚴.  Phonosemantic compound. 喦 represents the meaning and 敢 represents the sound. Based on the original meaning "exaggerate". The meaning later shifted to "extreme", "severe", and "strict". The traditional component 敢 was removed for simplification.
並	1 一	8010.2	TTC	廿廿金	10246.020 10248.030	0078.140	1302	side by side			side by side: Depits two people standing (立) side by side.
丧	24 十	4073	GCV	土金女	10022.010	0078.141			1427	funeral	mourning: Simplified form of 喪. Depicts multiple mouths (口) wailing to mourn the death (亡). 桑 and 亡 represent the sound.
丨	2 丨	2000	XL	難中	10028.020	0078.200					vertical line
个	2 丨	8020.0	OL	人中	10103.010	0078.230			258	individual	[measure word]: Pictograph of one stalk of bamboo. Same as one half of the character for bamboo (竹).
丫	2 丨	8020.0 8020.7	CL	金中	10028.060	0079.010					forked: Pictograph of a fork or branch.
