char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword
㚇	35 夕		UCHE	山金竹水	20869.070					
㨖	64 支		QMGK	手一土大	31931.020					
㫚	72 曰		PHA	心竹日	21493.030	0492.020				
㬹	130 臣		BBSD	月月尸木	32089.050					
䂑	111 石		OKYMP	人大卜一心	42583.160	0824.150				
䍇	121 网⺲罓⺳		OUHIO	人山竹戈人	52935.110					
䧹	172 雨		IOOG	戈人人土	64098.040					
䳭	196 鹵		AISLF	日戈尸中火	74647.080					
䵠	203 黹		WFPI	田火心戈	74744.050					
一	1 丨	1000.0	M	一	10001.010	0075.010	1	one	1	one
丁	1 丨	1020.0	MN	一弓	10002.050	0075.030	86	fourth	90	fourth
丂	1 丨		MVS	一女尸	10004.010	0075.050				
七	1 丨	4071.0	JU	十山	10003.030	0075.070	7	seven	7	seven
丄	1 丨		LM	中一	10003.010	0076.010				
丅	1 丨		XML	難一中	10002.040	0076.020				
丆	1 丨		XMH	難一竹	10003.021	0076.021				
万	1 丨	1022.7	MS	一尸	10009.030	0076.030			65	ten thousand
丈	1 丨	5000.0	JK	十大	10009.020	0076.040	776	100 Chinese Inches	837	100 Chinese inches
三	1 丨	1010.1	MMM	一一一	10004.030	0076.050	3	three	3	three
上	1 丨	2110.0	YM	卜一	10005.040	0076.070	44	above	45	above
下	1 丨	1023.0	MY	一卜	10007.010	0076.100	45	below	46	below
丌	1 丨	1022.0	ML	一中	10009.010	0076.130				
不	1 丨	1090.0	MF	一火	10011.060	0076.150	924	no	993	no
与	1 丨	2140.7	YSM	卜尸一	10005.030	0077.010			1034	offer
丏	1 丨	1072.7	MLVS	一中女尸	10011.050	0077.020				
丐	1 丨	1020.7	MYVS	一卜女尸	10010.060	0077.030				
丑	1 丨	1710.5	NG	弓土	10012.070	0077.040	1489	clown	1486	clown
丒	1 丨		SKM	尸大一	10013.021	0077.061				
专	1 丨	5030	QNI	手弓戈	10010.050	0077.061			1238	specialty
且	1 丨	7710.0	BM	月一	10015.050	0077.070	1297	moreover	1345	moreover
丕	1 丨	1010.9	MFM	一火一	10015.010	0077.100				
世	1 丨	4471.7	PT	心廿	10014.060	0077.110	27	generation	28	generation
丗	1 丨	4477.0	XTJ	難廿十	10014.050	0077.061				
